AQI index,Dominent pollutant,PM10,PM2.5,,,,,,,,
1,pm25,1,1,,,,,,,,
32,pm25,21,32,,,,,,,,
51,pm25,51,51,,,,,,,,
18,pm25,13,18,,,,,,,,
63,pm25,57,63,,,,,,,,
43,pm25,29,43,,,,,,,,
52,pm10,52,51,,,,,,,,
19,pm25,16,19,,,,,,,,
1,pm25,1,1,,,,,,,,
53,pm25,52,53,,,,,,,,
50,pm10,50,45,,,,,,,,
27,pm25,25,27,,,,,,,,
35,pm25,33,35,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
42,pm25,34,42,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
30,pm25,21,30,,,,,,,,
107,pm10,107,60,,,,,,,,
19,pm25,17,19,,,,,,,,
1,pm25,1,1,,,,,,,,
108,pm10,108,91,,,,,,,,
50,pm10,50,45,,,,,,,,
30,pm25,28,30,,,,,,,,
44,pm25,38,44,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
40,pm25,34,40,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
27,pm25,19,27,,,,,,,,
107,pm10,107,57,,,,,,,,
25,pm25,17,25,,,,,,,,
1,pm25,1,1,,,,,,,,
153,pm25,85,153,,,,,,,,
50,pm10,50,45,,,,,,,,
51,pm10,51,48,,,,,,,,
49,pm25,39,49,,,,,,,,
91,pm25,65,91,,,,,,,,
36,pm25,23,36,,,,,,,,
60,pm25,45,60,,,,,,,,
1,pm25,1,1,,,,,,,,
58,pm25,33,58,,,,,,,,
41,pm25,37,41,,,,,,,,
32,pm25,27,32,,,,,,,,
74,pm25,63,74,,,,,,,,
41,pm25,29,41,,,,,,,,
